,complements,substitutes,frequency_dict,context_dict
1928,['organism'],['organism'],"{'organism': (0.7601317167282104, 104)}",{'organism': 0.151}
2006,"['societies', 'markets', 'liberal', 'stability', 'consumer', 'strategy', 'theories', 'democratic', 'resource', 'perspective', 'morality', 'contemporary', 'origins', 'equality', 'science', 'educational', 'universal', 'perception', 'medicine', 'discipline', 'commercial', 'commerce', 'transformation', 'visual', 'ideal', 'diversity', 'emotional', 'realm', 'organisation', 'logic', 'rational', 'intellectual', 'reform', 'politics', 'regulation', 'unity', 'practices']","['practices', 'unity', 'regulation', 'politics', 'reform', 'intellectual', 'rational', 'logic', 'organisation', 'realm', 'emotional', 'diversity', 'ideal', 'visual', 'transformation', 'commerce', 'commercial', 'discipline', 'medicine', 'perception', 'universal', 'educational', 'science', 'equality', 'origins', 'contemporary', 'morality', 'perspective', 'resource', 'democratic', 'theories', 'strategy', 'consumer', 'stability', 'liberal', 'markets', 'societies']","{'democratic': (0.7437386512756348, 134), 'politics': (0.7306481599807739, 391), 'organisation': (0.7246221303939819, 152), 'medicine': (0.7172977328300476, 122), 'societies': (0.7156684994697571, 123), 'stability': (0.7147932052612305, 138), 'consumer': (0.7089011669158936, 102), 'morality': (0.7086190581321716, 101), 'emotional': (0.7034884691238403, 101), 'transformation': (0.7032126784324646, 133), 'contemporary': (0.7013269662857056, 162), 'practices': (0.6985559463500977, 176), 'unity': (0.6982893943786621, 196), 'visual': (0.6928107738494873, 100), 'commerce': (0.6916388273239136, 103), 'equality': (0.6902523040771484, 137), 'reform': (0.6900241374969482, 179), 'discipline': (0.6867012977600098, 123), 'rational': (0.6847825050354004, 146), 'realm': (0.6841000318527222, 167), 'regulation': (0.6830416917800903, 122), 'perception': (0.6825548410415649, 160), 'strategy': (0.6823180317878723, 165), 'markets': (0.6812615990638733, 204), 'commercial': (0.6793630123138428, 164), 'intellectual': (0.678117036819458, 211), 'diversity': (0.6758771538734436, 110), 'science': (0.6747927665710449, 503), 'universal': (0.6747458577156067, 207), 'origins': (0.6742120385169983, 103), 'educational': (0.6737499833106995, 122), 'logic': (0.6734121441841125, 117), 'perspective': (0.6731073260307312, 269), 'theories': (0.6726694107055664, 113), 'liberal': (0.6726599335670471, 134), 'ideal': (0.6714243292808533, 236), 'resource': (0.6693693399429321, 109)}","{'democratic': 0.616, 'politics': -0.824, 'organisation': -0.557, 'medicine': -0.001, 'societies': 0.883, 'stability': 0.825, 'consumer': 0.807, 'morality': 0.201, 'emotional': -0.079, 'transformation': -0.032, 'contemporary': 0.18, 'practices': -0.88, 'unity': -0.866, 'visual': -0.046, 'commerce': -0.012, 'equality': 0.069, 'reform': -0.773, 'discipline': -0.01, 'rational': -0.626, 'realm': -0.349, 'regulation': -0.83, 'perception': 0.021, 'strategy': 0.7, 'markets': 0.874, 'commercial': -0.011, 'intellectual': -0.766, 'diversity': -0.071, 'science': 0.051, 'universal': 0.038, 'origins': 0.174, 'educational': 0.045, 'logic': -0.604, 'perspective': 0.235, 'theories': 0.698, 'liberal': 0.872, 'ideal': -0.061, 'resource': 0.505}"
1972,"['identity', 'universe', 'educational', 'humanity', 'stability', 'personality', 'philosophy', 'formal', 'security', 'religion', 'department', 'preservation', 'reform', 'organisation', 'organization', 'welfare', 'institution', 'technology', 'perception']","['perception', 'technology', 'institution', 'welfare', 'organization', 'organisation', 'reform', 'preservation', 'department', 'religion', 'security', 'formal', 'philosophy', 'personality', 'stability', 'humanity', 'educational', 'universe', 'identity']","{'organisation': (0.7891228199005127, 110), 'humanity': (0.7448304891586304, 102), 'philosophy': (0.7396838665008545, 266), 'stability': (0.738187313079834, 145), 'preservation': (0.7318750619888306, 121), 'personality': (0.7283347845077515, 142), 'welfare': (0.7252637147903442, 177), 'department': (0.7240126729011536, 123), 'institution': (0.7236188650131226, 129), 'organization': (0.7222323417663574, 309), 'identity': (0.7221599221229553, 136), 'technology': (0.7168790102005005, 120), 'universe': (0.7161919474601746, 200), 'religion': (0.7154959440231323, 426), 'reform': (0.7138103246688843, 153), 'security': (0.7135635614395142, 296), 'perception': (0.7117379903793335, 114), 'educational': (0.7105344533920288, 173), 'formal': (0.7094219923019409, 139)}","{'organisation': -0.042, 'humanity': 0.825, 'philosophy': 0.161, 'stability': 0.656, 'preservation': 0.045, 'personality': 0.345, 'welfare': -0.159, 'department': 0.05, 'institution': -0.327, 'organization': -0.156, 'identity': 0.905, 'technology': -0.635, 'universe': 0.886, 'religion': 0.109, 'reform': -0.014, 'security': 0.13, 'perception': -0.826, 'educational': 0.852, 'formal': 0.143}"
1908,[],[],{},{}
1916,['humanity'],['humanity'],"{'humanity': (0.7458894848823547, 163)}",{'humanity': 0.769}
1913,['culture'],['culture'],"{'culture': (0.7905235290527344, 134)}",{'culture': -0.046}
1987,"['realm', 'organization', 'psychology', 'perception', 'transformation', 'survival', 'organisation', 'reform', 'culture', 'institution', 'achievement', 'leadership', 'stability', 'teaching', 'discipline', 'spiritual', 'origins', 'commitment']","['commitment', 'origins', 'spiritual', 'discipline', 'teaching', 'stability', 'leadership', 'achievement', 'institution', 'culture', 'reform', 'organisation', 'survival', 'transformation', 'perception', 'psychology', 'organization', 'realm']","{'reform': (0.7659796476364136, 141), 'commitment': (0.7446229457855225, 121), 'organisation': (0.7378295660018921, 208), 'psychology': (0.73679518699646, 102), 'leadership': (0.7350091934204102, 158), 'organization': (0.7321099042892456, 391), 'realm': (0.73066246509552, 145), 'perception': (0.7296584844589233, 147), 'discipline': (0.7209635972976685, 112), 'origins': (0.7176855802536011, 131), 'teaching': (0.7154672145843506, 249), 'achievement': (0.7141838073730469, 134), 'institution': (0.7121832370758057, 129), 'stability': (0.7103177309036255, 191), 'survival': (0.7095543146133423, 160), 'culture': (0.7079330682754517, 432), 'spiritual': (0.7066048383712769, 148), 'transformation': (0.7048600316047668, 142)}","{'reform': 0.14, 'commitment': -0.652, 'organisation': 0.176, 'psychology': 0.575, 'leadership': -0.069, 'organization': 0.627, 'realm': 0.768, 'perception': 0.452, 'discipline': -0.219, 'origins': -0.389, 'teaching': -0.187, 'achievement': -0.06, 'institution': -0.014, 'stability': -0.174, 'survival': 0.18, 'culture': 0.106, 'spiritual': -0.265, 'transformation': 0.188}"
1971,"['technology', 'identity', 'personality', 'spiritual', 'teaching', 'universe', 'professional', 'poverty', 'weakness', 'essence', 'unity', 'conception', 'reality', 'tradition', 'mission', 'vision', 'organization', 'symbol', 'organisation', 'philosophy']","['philosophy', 'organisation', 'symbol', 'organization', 'vision', 'mission', 'tradition', 'reality', 'conception', 'unity', 'essence', 'weakness', 'poverty', 'professional', 'universe', 'teaching', 'spiritual', 'personality', 'identity', 'technology']","{'organisation': (0.7539343237876892, 109), 'philosophy': (0.7386041283607483, 270), 'universe': (0.738510012626648, 198), 'symbol': (0.7373180985450745, 109), 'technology': (0.7334541082382202, 113), 'conception': (0.7325757145881653, 189), 'tradition': (0.7317664623260498, 237), 'vision': (0.7287013530731201, 169), 'personality': (0.7257821559906006, 138), 'identity': (0.7249724864959717, 149), 'poverty': (0.724277138710022, 140), 'mission': (0.7236570119857788, 119), 'teaching': (0.7181940674781799, 221), 'reality': (0.7159773111343384, 366), 'professional': (0.7130078077316284, 128), 'spiritual': (0.7124665975570679, 137), 'unity': (0.7113336324691772, 261), 'weakness': (0.7104240655899048, 150), 'organization': (0.7088546752929688, 373), 'essence': (0.7087783217430115, 159)}","{'organisation': -0.879, 'philosophy': -0.881, 'universe': 0.685, 'symbol': -0.823, 'technology': 0.92, 'conception': -0.129, 'tradition': -0.327, 'vision': -0.719, 'personality': 0.82, 'identity': 0.89, 'poverty': 0.209, 'mission': -0.698, 'teaching': 0.713, 'reality': -0.15, 'professional': 0.598, 'spiritual': 0.79, 'unity': -0.082, 'weakness': -0.046, 'organization': -0.822, 'essence': -0.064}"
1906,[],[],{},{}
1924,['drama'],['drama'],"{'drama': (0.7637219429016113, 122)}",{'drama': 0.613}
1955,"['organization', 'agriculture', 'reform', 'environment', 'organisation', 'nation', 'humanity']","['humanity', 'nation', 'organisation', 'environment', 'reform', 'agriculture', 'organization']","{'organization': (0.813467264175415, 169), 'organisation': (0.8118529319763184, 105), 'agriculture': (0.7960083484649658, 109), 'nation': (0.7649360299110413, 483), 'reform': (0.7587226033210754, 112), 'humanity': (0.754865288734436, 107), 'environment': (0.7542810440063477, 108)}","{'organization': 0.422, 'organisation': -0.038, 'agriculture': 0.364, 'nation': -0.057, 'reform': 0.363, 'humanity': -0.314, 'environment': 0.042}"
1954,"['environment', 'religion', 'drama', 'humanity']","['humanity', 'drama', 'religion', 'environment']","{'humanity': (0.7978282570838928, 102), 'religion': (0.7715480327606201, 549), 'environment': (0.7695305943489075, 125), 'drama': (0.7682229280471802, 129)}","{'humanity': -0.212, 'religion': 0.182, 'environment': 0.931, 'drama': -0.15}"
